1388778340.630,20.67
1388778340.865,20.66
1388778341.083,20.64
1388778341.302,20.62
1388778341.520,20.61
1388778341.746,20.59
1388778341.965,20.56
1388778342.185,20.55
1388778342.403,20.53
1388778342.622,20.51
1388778342.865,20.50
1388778343.083,20.48
1388778343.302,20.47
1388778343.520,20.47
1388778343.745,20.45
1388778343.963,20.43
1388778344.185,20.42
1388778344.403,20.41
1388778344.621,20.39
1388778344.864,20.39
1388778345.083,20.37
1388778345.301,20.36
1388778345.519,20.35
1388778345.744,20.34
1388778345.962,20.32
1388778346.185,20.32
1388778346.403,20.31
1388778346.622,20.29
1388778346.865,20.28
1388778347.083,20.27
1388778347.302,20.26
1388778347.520,20.25
1388778347.745,20.23
1388778347.963,20.20
1388778348.185,20.20
1388778348.403,20.19
1388778348.622,20.18
1388778348.865,20.17
1388778349.083,20.16
1388778349.302,20.14
1388778349.520,20.13
1388778349.745,20.12
1388778349.963,20.11
1388778350.185,20.11
1388778350.403,20.10
1388778350.622,20.08
1388778350.865,20.08
1388778351.083,20.07
1388778351.302,20.05
1388778351.520,20.05
1388778351.745,20.04
1388778351.963,20.04
1388778352.185,20.04
1388778352.404,20.03
1388778352.622,20.02
1388778352.865,20.01
1388778353.083,19.99
1388778353.301,19.97
1388778353.519,19.97
1388778353.745,19.95
1388778353.963,19.93
1388778354.185,19.93
1388778354.403,19.91
1388778354.621,19.88
1388778354.865,19.87
1388778355.084,19.87
1388778355.301,19.85
1388778355.518,19.84
1388778355.745,19.83
1388778355.963,19.83
1388778356.185,19.83
1388778356.403,19.83
1388778356.621,19.83
1388778356.866,19.82
1388778357.085,19.81
1388778357.303,19.80
1388778357.522,19.79
1388778357.745,19.78
1388778357.962,19.76
1388778358.184,19.75
1388778358.402,19.74
1388778358.620,19.73
1388778358.864,19.73
1388778359.082,19.72
1388778359.300,19.73
1388778359.520,19.73
1388778359.745,19.73
1388778359.963,19.73
1388778360.184,19.73
1388778360.402,19.73
1388778360.621,19.71
1388778360.866,19.71
1388778361.085,19.69
1388778361.303,19.67
1388778361.521,19.67
1388778361.745,19.67
1388778361.963,19.65
1388778362.184,19.65
1388778362.401,19.65
1388778362.619,19.63
1388778362.864,19.63
1388778363.085,19.61
1388778363.303,19.60
1388778363.521,19.59
1388778363.745,19.59
1388778363.964,19.58
1388778364.184,19.57
1388778364.402,19.56
1388778364.620,19.54
1388778364.866,19.54
1388778365.084,19.54
1388778365.303,19.54
1388778365.523,19.54
1388778365.746,19.54
1388778365.963,19.53
1388778366.183,19.52
1388778366.401,19.52
1388778366.621,19.51
1388778366.865,19.50
1388778367.083,19.49
1388778367.302,19.48
1388778367.519,19.47
1388778367.744,19.47
1388778367.962,19.47
1388778368.185,19.46
1388778368.402,19.45
1388778368.622,19.45
1388778368.864,19.45
1388778369.083,19.45
1388778369.301,19.45
1388778369.519,19.44
1388778369.746,19.43
1388778369.963,19.42
1388778370.185,19.42
1388778370.403,19.41
1388778370.621,19.40
1388778370.864,19.40
1388778371.083,19.39
1388778371.302,19.39
1388778371.520,19.38
1388778371.744,19.36
1388778371.963,19.34
1388778372.183,19.34
1388778372.402,19.33
1388778372.620,19.31
1388778372.865,19.31
1388778373.083,19.30
1388778373.301,19.30
1388778373.519,19.30
1388778373.746,19.30
1388778373.966,19.29
1388778374.184,19.28
1388778374.402,19.26
1388778374.620,19.26
1388778374.865,19.25
1388778375.083,19.24
1388778375.302,19.24
1388778375.520,19.24
1388778375.746,19.24
1388778375.966,19.23
1388778376.185,19.22
1388778376.403,19.21
1388778376.622,19.20
1388778376.864,19.19
1388778377.083,19.17
1388778377.301,19.17
1388778377.519,19.17
1388778377.746,19.17
1388778377.966,19.17
1388778378.185,19.17
1388778378.403,19.17
1388778378.621,19.17
1388778378.867,19.16
1388778379.085,19.15
1388778379.303,19.14
1388778379.522,19.14
1388778379.745,19.13
1388778379.963,19.12
1388778380.185,19.12
1388778380.403,19.11
1388778380.622,19.11
1388778380.867,19.11
1388778381.085,19.09
1388778381.303,19.09
1388778381.522,19.08
1388778381.745,19.07
1388778381.963,19.07
1388778382.184,19.07
1388778382.402,19.07
1388778382.620,19.07
1388778382.866,19.07
1388778383.084,19.07
1388778383.302,19.07
1388778383.520,19.07
1388778383.745,19.06
1388778383.963,19.06
1388778384.185,19.05
1388778384.403,19.05
1388778384.622,19.05
1388778384.867,19.05
1388778385.085,19.05
1388778385.303,19.04
1388778385.522,19.04
1388778385.745,19.03
1388778385.963,19.03
1388778386.185,19.03
1388778386.403,19.02
1388778386.622,19.02
1388778386.866,19.01
1388778387.085,19.00
1388778387.303,19.00
1388778387.522,19.00
1388778387.745,19.00
1388778387.963,18.99
1388778388.185,18.98
1388778388.403,18.98
1388778388.621,18.97
1388778388.866,18.97
1388778389.085,18.96
1388778389.303,18.97
1388778389.522,18.97
1388778389.745,18.96
1388778389.963,18.96
1388778390.185,18.95
1388778390.403,18.95
1388778390.621,18.95
1388778390.865,18.95
1388778391.083,18.94
1388778391.301,18.94
1388778391.519,18.94
1388778391.745,18.94
1388778391.963,18.93
1388778392.185,18.92
1388778392.402,18.92
1388778392.620,18.92
1388778392.866,18.91
1388778393.085,18.91
1388778393.303,18.93
1388778393.521,18.92
1388778393.745,18.91
1388778393.963,18.91
